id,Heart_GSH,Heart_GSSG,Heart_TotalGSH,Heart_GSHGSSGRatio,Heart_Eh
DO-1,1.458,1.93,5.319,0.756,NA
DO-2,0.325,1.699,3.723,0.192,NA
DO-3,1.035,1.604,4.243,0.645,NA
DO-4,1.361,2.837,7.035,0.48,NA
DO-5,1.202,1.757,4.716,0.684,NA
DO-6,1.31,3.205,7.719,0.409,NA
DO-7,2.481,1.975,6.431,1.256,NA
DO-8,1.92,3.677,9.274,0.522,NA
DO-9,0.302,2.339,4.979,0.129,NA
DO-10,0.392,2.112,4.615,0.186,NA
DO-11,1.143,2.558,6.259,0.447,NA
DO-12,2.967,2.265,7.496,1.31,NA
DO-13,1.536,2.551,6.638,0.602,NA
DO-14,0.001,2.598,5.197,0,NA
DO-15,8.086,1.656,11.397,4.884,NA
DO-16,2.478,2.583,7.644,0.959,NA
DO-17,0.434,2.495,5.424,0.174,NA
DO-18,0.774,5.802,12.378,0.133,NA
DO-19,2.733,2.77,8.272,0.987,NA
DO-20,0.686,2.355,5.396,0.291,NA
DO-21,2.436,1.018,4.472,2.392,NA
DO-22,2.657,2.038,6.733,1.303,NA
DO-23,2.147,1.916,5.98,1.121,NA
DO-24,8.587,2.779,14.145,3.09,NA
DO-25,1.102,2.57,6.241,0.429,NA
DO-27,1.02,2.239,5.498,0.455,NA
DO-28,2.848,2.303,7.455,1.237,NA
DO-29,5.139,1.277,7.692,4.026,NA
DO-30,NA,NA,NA,NA,NA
DO-31,0.194,2.002,4.197,0.097,NA
DO-32,4.19,1.509,7.207,2.777,NA
DO-33,3.33,3.295,9.919,1.011,NA
DO-34,1.451,1.881,5.214,0.771,NA
DO-35,0.853,2.669,6.19,0.32,NA
DO-36,0.203,2.649,5.501,0.077,NA
DO-38,0.414,3.955,8.323,0.105,NA
DO-39,1.177,4.68,10.537,0.252,NA
DO-41,1.72,2.784,7.287,0.618,NA
DO-42,4.073,2.119,8.311,1.922,NA
DO-44,3.425,2.785,8.996,1.23,NA
DO-45,1.701,1.73,5.161,0.983,NA
DO-46,2.589,2.314,7.217,1.119,NA
DO-47,2.424,2.478,7.381,0.978,NA
DO-48,0.532,3.22,6.972,0.165,NA
DO-49,1.143,2.307,5.757,0.496,NA
DO-50,0.432,2.621,5.674,0.165,NA
DO-51,1.635,1.759,5.152,0.93,NA
DO-52,2.136,3.121,8.379,0.684,NA
DO-53,3.762,2.23,8.223,1.687,NA
DO-54,2.541,1.582,5.705,1.606,NA
DO-55,0.056,2.891,5.839,0.019,NA
DO-56,2.298,2.934,8.167,0.783,NA
DO-57,1.916,3.033,7.982,0.632,NA
DO-59,3.063,2.852,8.767,1.074,NA
DO-60,2.974,2.502,7.977,1.189,NA
DO-61,3.001,2.794,8.589,1.074,NA
DO-62,1.876,2.739,7.354,0.685,NA
DO-63,3.329,1.209,5.746,2.754,NA
DO-64,3.077,2.28,7.637,1.35,NA
DO-65,1.392,1.563,4.518,0.891,NA
DO-66,3.738,3.144,10.026,1.189,NA
DO-67,2.414,2.337,7.088,1.033,NA
DO-68,4.042,2.506,9.053,1.613,NA
DO-69,3.038,3.476,9.991,0.874,NA
DO-70,2.941,2.272,7.485,1.295,NA
DO-71,2.03,1.021,4.072,1.987,NA
DO-72,6.731,1.409,9.55,4.777,NA
DO-73,4.799,1.225,7.249,3.916,NA
DO-74,0.359,1.948,4.255,0.184,NA
DO-75,4.299,1.662,7.624,2.586,NA
DO-76,3.045,2.185,7.415,1.394,NA
DO-77,0.89,1.845,4.58,0.483,NA
DO-78,4.178,1.504,7.185,2.778,NA
DO-79,0.927,1.734,4.396,0.535,NA
DO-80,2.94,2.072,7.084,1.419,NA
DO-81,5.655,1.527,8.71,3.702,NA
DO-82,4.12,1.358,6.835,3.035,NA
DO-83,1.246,1.917,5.08,0.65,NA
DO-84,5.65,1.728,9.107,3.269,NA
DO-85,3.584,2.305,8.195,1.555,NA
DO-86,3.473,1.636,6.744,2.123,NA
DO-87,10.589,1.711,14.011,6.19,NA
DO-88,3.057,2.256,7.568,1.355,NA
DO-89,4.924,1.617,8.159,3.044,NA
DO-90,3.909,3.196,10.3,1.223,NA
DO-91,6.234,1.447,9.129,4.307,NA
DO-92,4.527,2.101,8.729,2.155,NA
DO-93,1.293,2.712,6.717,0.477,NA
DO-94,1.323,2.611,6.545,0.507,NA
DO-95,1.347,1.218,3.782,1.107,NA
DO-96,4.807,1.338,7.483,3.594,NA
DO-97,2.482,2.374,7.23,1.045,NA
DO-98,3.507,1.483,6.472,2.365,NA
99,3.329,1.238,5.806,2.688,NA
101,4.978,1.154,7.287,4.312,NA
102,7.2,1.608,10.417,4.477,NA
103,4.118,1.235,6.588,3.334,NA
104,8.322,1.725,11.771,4.824,NA
105,NA,NA,NA,NA,NA
106,10.525,2.641,15.807,3.985,NA
107,4.549,1.685,7.92,2.699,NA
109,6.555,2.488,11.531,2.635,NA
110,9.721,2.245,14.211,4.33,NA
111,13.53,1.592,16.714,8.498,NA
113,5.714,1.367,8.449,4.179,NA
114,4.816,1.517,7.85,3.175,NA
115,13.976,1.38,16.735,10.131,NA
116,7.333,1.724,10.78,4.254,NA
117,7.615,1.174,9.963,6.488,NA
118,7.976,2.011,11.999,3.965,NA
119,5.017,1.999,9.015,2.51,NA
121,4.967,1.23,7.428,4.038,NA
122,8.082,1.158,10.398,6.98,NA
123,7.368,1.449,10.267,5.084,NA
124,7.165,1.237,9.639,5.79,NA
125,3.292,1.23,5.752,2.676,NA
126,5.305,1.225,7.755,4.331,NA
127,3.797,1.709,7.214,2.222,NA
128,10.626,1.98,14.586,5.367,NA
129,4.28,1.538,7.357,2.783,NA
130,6.195,1.827,9.848,3.391,NA
131,1.111,2.477,6.066,0.449,NA
132,7.472,1.804,11.08,4.142,NA
133,4.282,2.428,9.138,1.763,NA
134,14.086,1.681,17.448,8.38,NA
135,2.318,1.782,5.881,1.301,NA
136,15.991,1.421,18.833,11.252,NA
137,6.569,1.221,9.011,5.381,NA
138,2.667,2.129,6.925,1.252,NA
139,14.781,2.817,20.414,5.248,NA
140,3.227,2.622,8.472,1.231,NA
141,2.83,3.429,9.688,0.825,NA
142,4.407,1.216,6.839,3.623,NA
143,6.254,1.279,8.811,4.89,NA
144,4.179,1.858,7.895,2.249,NA
145,5.252,1.494,8.241,3.514,NA
146,2.47,2.359,7.189,1.047,NA
147,2.303,2.006,6.314,1.148,NA
148,4.141,1.975,8.091,2.096,NA
149,2.424,2.55,7.525,0.95,NA
150,2.491,2.981,8.452,0.836,NA
151,1.64,2.08,5.799,0.789,NA
152,6.542,1.186,8.915,5.514,NA
153,2.593,1.636,5.865,1.585,NA
154,3.249,1.87,6.989,1.737,NA
155,5.204,1.301,7.807,4,NA
156,6.048,1.496,9.04,4.044,NA
157,3.127,1.299,5.725,2.408,NA
158,6.037,1.507,9.051,4.006,NA
159,6.066,2.302,10.671,2.634,NA
160,9.244,1.864,12.973,4.959,NA
161,9.787,1.265,12.317,7.736,NA
162,3.276,1.586,6.448,2.066,NA
163,2.12,2.701,7.522,0.785,NA
164,4.542,1.93,8.402,2.354,NA
165,6.055,1.254,8.564,4.828,NA
166,0.702,2.155,5.011,0.326,NA
167,4.329,1.675,7.678,2.585,NA
168,6.894,1.744,10.381,3.954,NA
169,2.639,1.65,5.94,1.599,NA
170,2.044,1.65,5.344,1.239,NA
171,2.283,2.143,6.569,1.065,NA
172,4.163,1.699,7.561,2.451,NA
173,2.374,1.639,5.651,1.448,NA
174,5.654,3.386,12.427,1.67,NA
175,1.475,1.54,4.556,0.958,NA
176,5.749,2.404,10.557,2.392,NA
177,1.633,1.755,5.143,0.931,NA
178,4.564,2.09,8.744,2.184,NA
179,1.64,2.528,6.696,0.649,NA
180,2.714,3.123,8.959,0.869,NA
181,2.307,1.098,4.503,2.102,NA
182,5.025,2.416,9.858,2.079,NA
183,5.629,3.069,11.768,1.834,NA
184,1.138,1.813,4.764,0.627,NA
185,3.765,1.492,6.748,2.524,NA
186,10.923,1.145,13.213,9.537,NA
187,0.842,3.34,7.522,0.252,NA
188,9.439,1.848,13.134,5.109,NA
189,4.413,2.417,9.246,1.826,NA
190,4.892,2.283,9.459,2.143,NA
192,3.701,1.771,7.242,2.09,NA
193,3.244,2.055,7.354,1.578,NA
194,1.862,1.364,4.59,1.366,NA
195,6.646,2.06,10.766,3.225,NA
196,1.919,2.287,6.494,0.839,NA
197,0.059,2.865,5.788,0.021,NA
198,9.821,1.224,12.269,8.022,NA
199,2.626,1.65,5.926,1.592,NA
200,7.106,2.91,12.926,2.441,NA
201,3.607,1.481,6.569,2.435,NA
202,5.221,2.503,10.228,2.086,NA
203,1.423,1.375,4.173,1.035,NA
204,8.039,1.77,11.579,4.542,NA
205,2.907,1.223,5.353,2.376,NA
206,2.683,2.551,7.786,1.052,NA
207,1.695,1.853,5.4,0.915,NA
208,4.028,1.876,7.781,2.146,NA
209,3.2,1.506,6.212,2.125,NA
210,3.14,2.086,7.313,1.505,NA
211,4.886,1.272,7.43,3.84,NA
212,4.267,1.636,7.54,2.608,NA
213,6.129,1.049,8.226,5.844,NA
214,5.869,1.813,9.495,3.237,NA
215,4.754,2.334,9.422,2.037,NA
216,3.931,1.741,7.412,2.258,NA
217,3.023,1.933,6.889,1.564,NA
218,2.239,2.904,8.048,0.771,NA
219,6.23,2.487,11.205,2.505,NA
220,2.69,2.035,6.761,1.322,NA
221,NA,NA,NA,NA,NA
222,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,NA
224,NA,NA,NA,NA,NA
225,NA,NA,NA,NA,NA
226,NA,NA,NA,NA,NA
227,NA,NA,NA,NA,NA
228,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA
230,NA,NA,NA,NA,NA
231,NA,NA,NA,NA,NA
232,NA,NA,NA,NA,NA
233,NA,NA,NA,NA,NA
235,NA,NA,NA,NA,NA
237,NA,NA,NA,NA,NA
238,NA,NA,NA,NA,NA
239,NA,NA,NA,NA,NA
240,NA,NA,NA,NA,NA
241,NA,NA,NA,NA,NA
242,NA,NA,NA,NA,NA
243,NA,NA,NA,NA,NA
244,NA,NA,NA,NA,NA
245,NA,NA,NA,NA,NA
246,NA,NA,NA,NA,NA
247,NA,NA,NA,NA,NA
248,NA,NA,NA,NA,NA
249,NA,NA,NA,NA,NA
250,NA,NA,NA,NA,NA
251,NA,NA,NA,NA,NA
252,NA,NA,NA,NA,NA
253,NA,NA,NA,NA,NA
254,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA
256,NA,NA,NA,NA,NA
257,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA
259,NA,NA,NA,NA,NA
260,NA,NA,NA,NA,NA
261,NA,NA,NA,NA,NA
262,NA,NA,NA,NA,NA
263,NA,NA,NA,NA,NA
264,NA,NA,NA,NA,NA
265,NA,NA,NA,NA,NA
266,NA,NA,NA,NA,NA
267,NA,NA,NA,NA,NA
268,NA,NA,NA,NA,NA
269,NA,NA,NA,NA,NA
270,NA,NA,NA,NA,NA
271,NA,NA,NA,NA,NA
272,NA,NA,NA,NA,NA
273,NA,NA,NA,NA,NA
274,NA,NA,NA,NA,NA
275,NA,NA,NA,NA,NA
276,NA,NA,NA,NA,NA
277,NA,NA,NA,NA,NA
278,NA,NA,NA,NA,NA
279,NA,NA,NA,NA,NA
281,NA,NA,NA,NA,NA
282,NA,NA,NA,NA,NA
283,NA,NA,NA,NA,NA
284,NA,NA,NA,NA,NA
285,NA,NA,NA,NA,NA
286,NA,NA,NA,NA,NA
288,NA,NA,NA,NA,NA
289,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA
292,NA,NA,NA,NA,NA
293,NA,NA,NA,NA,NA
294,NA,NA,NA,NA,NA
295,NA,NA,NA,NA,NA
296,NA,NA,NA,NA,NA
297,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA
299,NA,NA,NA,NA,NA
300,NA,NA,NA,NA,NA
301,NA,NA,NA,NA,NA
302,NA,NA,NA,NA,NA
303,NA,NA,NA,NA,NA
304,NA,NA,NA,NA,NA
305,NA,NA,NA,NA,NA
306,NA,NA,NA,NA,NA
308,NA,NA,NA,NA,NA
309,NA,NA,NA,NA,NA
310,NA,NA,NA,NA,NA
311,NA,NA,NA,NA,NA
312,NA,NA,NA,NA,NA
313,NA,NA,NA,NA,NA
314,NA,NA,NA,NA,NA
315,NA,NA,NA,NA,NA
316,NA,NA,NA,NA,NA
317,NA,NA,NA,NA,NA
318,NA,NA,NA,NA,NA
319,NA,NA,NA,NA,NA
320,NA,NA,NA,NA,NA
321,NA,NA,NA,NA,NA
322,NA,NA,NA,NA,NA
323,NA,NA,NA,NA,NA
324,NA,NA,NA,NA,NA
325,NA,NA,NA,NA,NA
326,NA,NA,NA,NA,NA
328,NA,NA,NA,NA,NA
329,NA,NA,NA,NA,NA
330,NA,NA,NA,NA,NA
331,NA,NA,NA,NA,NA
332,NA,NA,NA,NA,NA
333,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA
335,NA,NA,NA,NA,NA
336,NA,NA,NA,NA,NA
337,NA,NA,NA,NA,NA
338,NA,NA,NA,NA,NA
339,NA,NA,NA,NA,NA
340,NA,NA,NA,NA,NA
341,NA,NA,NA,NA,NA
342,NA,NA,NA,NA,NA
343,NA,NA,NA,NA,NA
344,NA,NA,NA,NA,NA
345,NA,NA,NA,NA,NA
346,NA,NA,NA,NA,NA
347,NA,NA,NA,NA,NA
348,NA,NA,NA,NA,NA
349,NA,NA,NA,NA,NA
350,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA
352,NA,NA,NA,NA,NA
353,NA,NA,NA,NA,NA
354,NA,NA,NA,NA,NA
355,NA,NA,NA,NA,NA
356,NA,NA,NA,NA,NA
357,NA,NA,NA,NA,NA
358,NA,NA,NA,NA,NA
359,NA,NA,NA,NA,NA
361,NA,NA,NA,NA,NA
362,NA,NA,NA,NA,NA
363,NA,NA,NA,NA,NA
364,NA,NA,NA,NA,NA
365,NA,NA,NA,NA,NA